0  0.5   0   1.6
0.010101  0.499974   0.010101   1.61782
0.020202  0.499898   0.020202   1.61378
0.030303  0.49977   0.030303   1.59647
0.040404  0.499592   0.040404   1.57777
0.0505051  0.499362   0.0505051   1.56992
0.0606061  0.499081   0.0606061   1.58244
0.0707071  0.498749   0.0707071   1.61977
0.0808081  0.498365   0.0808081   1.68017
0.0909091  0.49793   0.0909091   1.75611
0.10101  0.497443   0.10101   1.8362
0.111111  0.496904   0.111111   1.90801
0.121212  0.496313   0.121212   1.96117
0.131313  0.49567   0.131313   1.98998
0.141414  0.494975   0.141414   1.9948
0.151515  0.494227   0.151515   1.98201
0.161616  0.493427   0.161616   1.96236
0.171717  0.492573   0.171717   1.94832
0.181818  0.491666   0.181818   1.95098
0.191919  0.490705   0.191919   1.97722
0.20202  0.489691   0.20202   2.02807
0.212121  0.488622   0.212121   2.09839
0.222222  0.487498   0.222222   2.17819
0.232323  0.486319   0.232323   2.25512
0.242424  0.485085   0.242424   2.31753
0.252525  0.483795   0.252525   2.3574
0.262626  0.482449   0.262626   2.37234
0.272727  0.481046   0.272727   2.36619
0.282828  0.479585   0.282828   2.34806
0.292929  0.478067   0.292929   2.33003
0.30303  0.47649   0.30303   2.32418
0.313131  0.474855   0.313131   2.33953
0.323232  0.47316   0.323232   2.37981
0.333333  0.471405   0.333333   2.44254
0.343434  0.469588   0.343434   2.51962
0.353535  0.467711   0.353535   2.59936
0.363636  0.46577   0.363636   2.66943
0.373737  0.463767   0.373737   2.71989
0.383838  0.4617   0.383838   2.74571
0.393939  0.459568   0.393939   2.74801
0.40404  0.457371   0.40404   2.73378
0.414141  0.455106   0.414141   2.71414
0.424242  0.452774   0.424242   2.70157
0.434343  0.450374   0.434343   2.70676
0.444444  0.447903   0.444444   2.73599
0.454545  0.445362   0.454545   2.78953
0.464646  0.442748   0.464646   2.86157
0.474747  0.440061   0.474747   2.9417
0.484848  0.437299   0.484848   3.01746
0.494949  0.434461   0.494949   3.07752
0.505051  0.431545   0.505051   3.11443
0.515152  0.42855   0.515152   3.12656
0.525253  0.425473   0.525253   3.11843
0.535354  0.422314   0.535354   3.09965
0.545455  0.41907   0.545455   3.08247
0.555556  0.41574   0.555556   3.07874
0.565657  0.41232   0.565657   3.09697
0.575758  0.40881   0.575758   3.14017
0.585859  0.405207   0.585859   3.20512
0.59596  0.401507   0.59596   3.28317
0.606061  0.397709   0.606061   3.36239
0.616162  0.39381   0.616162   3.43057
0.626263  0.389806   0.626263   3.47826
0.636364  0.385695   0.636364   3.50111
0.646465  0.381472   0.646465   3.50098
0.656566  0.377134   0.656566   3.48547
0.666667  0.372678   0.666667   3.46603
0.676768  0.368098   0.676768   3.45507
0.686869  0.363391   0.686869   3.46289
0.69697  0.35855   0.69697   3.49511
0.707071  0.353571   0.707071   3.55126
0.717172  0.348448   0.717172   3.62487
0.727273  0.343174   0.727273   3.70513
0.737374  0.337742   0.737374   3.77958
0.747475  0.332145   0.747475   3.83718
0.757576  0.326374   0.757576   3.87112
0.767677  0.320419   0.767677   3.88049
0.777778  0.31427   0.777778   3.87052
0.787879  0.307915   0.787879   3.85127
0.79798  0.301342   0.79798   3.8351
0.808081  0.294536   0.808081   3.83363
0.818182  0.28748   0.818182   3.85478
0.828283  0.280155   0.828283   3.90084
0.838384  0.27254   0.838384   3.96789
0.848485  0.26461   0.848485   4.04673
0.858586  0.256335   0.858586   4.12525
0.868687  0.247681   0.868687   4.19142
0.878788  0.238606   0.878788   4.23627
0.888889  0.229061   0.888889   4.25618
0.89899  0.218985   0.89899   4.25373
0.909091  0.208299   0.909091   4.23711
0.919192  0.196905   0.919192   4.21804
0.929293  0.184672   0.929293   4.20883
0.939394  0.17142   0.939394   4.21937
0.949495  0.156891   0.949495   4.25458
0.959596  0.140691   0.959596   4.31323
0.969697  0.122155   0.969697   4.38826
0.979798  0.0999949   0.979798   4.46849
0.989899  0.0708872   0.989899   4.54145
1  0   1   4.5965
